Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
03/09/2015,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,1.67,12.55,0.133,
03/09/2015,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,2.17,12.55,0.173,
03/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,134.09,12.64,10.608,
03/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,71.31,12.64,5.642,
03/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,94.60,12.64,7.484,
03/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,89.39,12.63,7.078,
03/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,47.54,12.63,3.764,
03/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,63.07,12.63,4.994,
03/02/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,220.53,12.64,17.447,
03/02/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,121.36,12.64,9.601,
03/02/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,158.11,12.64,12.509,
02/24/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,436.27,12.71,34.325,
02/24/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,246.81,12.71,19.419,
02/24/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,316.92,12.71,24.935,
12/16/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,18.70,10.28,1.819,
12/16/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,6.23,10.28,0.606,
12/16/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,10.92,10.28,1.062,
12/15/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.01,10.28,0.001,
12/15/2015,DFA One-Year Fixed Income,DFIHX,Short Term Capital Gain Reinvestment,0.01,10.28,0.001,
12/11/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1886.24,10.30,-183.130,
12/11/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-885.35,10.30,-85.957,
12/11/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1228.41,10.30,-119.263,
12/09/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1886.24,10.30,-183.130,
12/09/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-885.37,10.30,-85.959,
12/09/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1228.39,10.30,-119.261,
12/07/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-2122.02,10.30,-206.022,
12/07/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-996.05,10.30,-96.704,
12/07/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1381.93,10.30,-134.168,
12/03/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,820.04,10.30,79.615,
12/03/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,273.35,10.30,26.539,
12/03/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,478.35,10.30,46.442,
11/27/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,3.13,10.30,0.304,
11/27/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,1.54,10.30,0.150,
