Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
01/11/2017,DFA International Value III,DFVIX,Exchange Redemption,-234.46,14.73,-15.917,
01/11/2017,DFA International Value III,DFVIX,Exchange Redemption,-110.71,14.73,-7.516,
01/11/2017,DFA International Value III,DFVIX,Exchange Redemption,-154.83,14.73,-10.511,
01/10/2017,DFA International Value III,DFVIX,Exchange Redemption,-117.23,14.55,-8.057,
01/10/2017,DFA International Value III,DFVIX,Exchange Redemption,-55.36,14.55,-3.805,
01/10/2017,DFA International Value III,DFVIX,Exchange Redemption,-77.41,14.55,-5.320,
01/05/2017,DFA International Value III,DFVIX,Exchange Redemption,-117.23,14.68,-7.986,
01/05/2017,DFA International Value III,DFVIX,Exchange Redemption,-55.36,14.68,-3.771,
01/05/2017,DFA International Value III,DFVIX,Exchange Redemption,-77.41,14.68,-5.273,
03/29/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,118.19,9.96,11.867,
03/29/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,53.71,9.96,5.393,
03/29/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,78.10,9.96,7.841,
03/28/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,236.37,9.95,23.756,
03/28/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,107.42,9.95,10.796,
03/28/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,156.21,9.95,15.700,
03/27/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,118.19,9.95,11.878,
03/27/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,53.71,9.95,5.398,
03/27/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,78.10,9.95,7.849,
03/24/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,118.19,9.95,11.878,
03/24/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,53.71,9.95,5.398,
03/24/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,78.10,9.95,7.849,
03/22/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,118.19,9.95,11.878,
03/22/2017,DFA Short Duration Real Return Portfolio,DFAIX,Exchange Purchase,53.71,9.95,5.398,
