Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
08/24/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-54.98,11.28,-4.874,
08/24/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-77.40,11.28,-6.862,
08/23/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-117.62,11.32,-10.390,
08/23/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-54.98,11.32,-4.857,
08/23/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-77.40,11.32,-6.838,
08/15/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-117.62,11.34,-10.372,
08/15/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-54.98,11.34,-4.848,
08/15/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-77.40,11.34,-6.825,
06/29/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,24.09,10.65,2.262,
06/29/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,11.26,10.65,1.057,
06/29/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,15.86,10.65,1.489,
06/08/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.24,11.28,-20.855,
06/08/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.96,11.28,-9.748,
06/08/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-154.80,11.28,-13.723,
06/07/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.24,11.27,-20.873,
06/07/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.96,11.27,-9.757,
06/07/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-154.80,11.27,-13.736,
06/03/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.24,11.13,-21.136,
06/03/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.96,11.13,-9.880,
06/03/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-154.80,11.13,-13.908,
06/01/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.24,11.03,-21.327,
06/01/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.96,11.03,-9.969,
06/01/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-154.80,11.03,-14.034,
05/25/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.24,11.02,-21.347,
05/25/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.96,11.02,-9.978,
05/25/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-154.80,11.02,-14.047,
03/30/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,16.15,10.97,1.472,
03/30/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,7.55,10.97,0.688,
03/30/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,10.63,10.97,0.969,
02/11/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,125.00,9.85,12.690,
02/11/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,41.67,9.85,4.231,
02/11/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,83.33,9.85,8.460,
02/09/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,125.00,10.00,12.500,
02/09/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,41.67,10.00,4.167,
02/09/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,83.33,10.00,8.333,
01/20/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,42.23,9.93,4.253,
01/20/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,14.08,9.93,1.418,
01/20/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,28.15,9.93,2.835,
12/15/2016,DFA International Value III,DFVIX,Ordinary Dividend Reinvestment Increase,8.38,14.26,0.588,
12/15/2016,DFA International Value III,DFVIX,Ordinary Dividend Reinvestment Increase,3.96,14.26,0.278,
12/15/2016,DFA International Value III,DFVIX,Ordinary Dividend Reinvestment Increase,5.53,14.26,0.388,
11/21/2016,DFA International Value III,DFVIX,Exchange Purchase,235.18,13.82,17.017,
11/21/2016,DFA International Value III,DFVIX,Exchange Purchase,107.32,13.82,7.766,
11/21/2016,DFA International Value III,DFVIX,Exchange Purchase,157.50,13.82,11.396,
09/29/2016,DFA International Value III,DFVIX,Ordinary Dividend Reinvestment Increase,3.53,13.52,0.261,
09/29/2016,DFA International Value III,DFVIX,Ordinary Dividend Reinvestment Increase,1.69,13.52,0.125,
09/29/2016,DFA International Value III,DFVIX,Ordinary Dividend Reinvestment Increase,2.32,13.52,0.172,
09/22/2016,DFA International Value III,DFVIX,Exchange Redemption,-234.23,13.80,-16.973,
09/22/2016,DFA International Value III,DFVIX,Exchange Redemption,-111.79,13.80,-8.101,
09/22/2016,DFA International Value III,DFVIX,Exchange Redemption,-153.98,13.80,-11.158,
09/08/2016,DFA International Value III,DFVIX,Exchange Redemption,-374.78,13.89,-26.982,
09/08/2016,DFA International Value III,DFVIX,Exchange Redemption,-178.86,13.89,-12.877,
09/08/2016,DFA International Value III,DFVIX,Exchange Redemption,-246.36,13.89,-17.736,
08/24/2016,DFA International Value III,DFVIX,Exchange Redemption,-117.12,13.57,-8.631,
08/24/2016,DFA International Value III,DFVIX,Exchange Redemption,-55.90,13.57,-4.119,
08/24/2016,DFA International Value III,DFVIX,Exchange Redemption,-76.98,13.57,-5.673,
08/23/2016,DFA International Value III,DFVIX,Exchange Redemption,-117.12,13.61,-8.605,
08/23/2016,DFA International Value III,DFVIX,Exchange Redemption,-55.90,13.61,-4.107,
08/23/2016,DFA International Value III,DFVIX,Exchange Redemption,-76.98,13.61,-5.656,
08/15/2016,DFA International Value III,DFVIX,Exchange Redemption,-117.12,13.56,-8.637,
08/15/2016,DFA International Value III,DFVIX,Exchange Redemption,-55.90,13.56,-4.122,
08/15/2016,DFA International Value III,DFVIX,Exchange Redemption,-76.98,13.56,-5.677,
07/14/2016,DFA International Value III,DFVIX,Exchange Purchase,1610.10,13.11,122.815,
07/14/2016,DFA International Value III,DFVIX,Exchange Purchase,768.44,13.11,58.615,
07/14/2016,DFA International Value III,DFVIX,Exchange Purchase,1058.38,13.11,80.731,
08/01/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-0.06,1.00,-0.060,
08/01/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-0.01,1.00,-0.010,
08/01/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-0.03,1.00,-0.030,
07/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.06,1.00,0.060,
07/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
07/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.03,1.00,0.030,
07/08/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-492.70,1.00,-492.700,
07/08/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-70.39,1.00,-70.390,
07/08/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.55,1.00,-281.550,
06/30/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
06/30/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
06/30/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,492.69,1.00,492.690,
06/30/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,70.39,1.00,70.390,
06/30/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
06/16/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-492.69,1.00,-492.690,
06/16/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-70.39,1.00,-70.390,
06/16/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.54,1.00,-281.540,
06/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,492.69,1.00,492.690,
06/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,70.39,1.00,70.390,
06/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
06/01/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-492.70,1.00,-492.700,
06/01/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-70.39,1.00,-70.390,
06/01/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.54,1.00,-281.540,
05/31/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
